title,link,published,published_parsed,article_content
«Wir befinden uns in einem grossen Informationschaos»,https://www.srf.ch/news/international/bin-laden-bei-tiktok-wir-befinden-uns-in-einem-grossen-informationschaos,"Tue, 21 Nov 2023 22:18:38 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=21, tm_min=18, tm_sec=38, tm_wday=1, tm_yday=325, tm_isdst=0)","Osama bin Laden ist zurück. Der Drahtzieher der Anschläge von 9/11 feiert mehr als 20 Jahre nach der Terrorattacke auf die USA und über zwölf Jahre nach seinem Tod bei Tiktok ein Revival. Der Extremismusforscher Jakob Guhl ordnet das Phänomen ein.                   Jakob Guhl      Jakob Guhl beschäftigt sich beim Institute for Strategy Germany (ISD) mit Extremismus, Hass, Desinformation und Verschwörungstheorien im Internet. SRF News: Was passiert da gerade mit der Verherrlichung bin Ladens auf Tiktok?  Jakob Guhl: Wir haben es bei den Userinnen und Usern mit häufig jungen Menschen zu tun, die keine eigene Erinnerung an 9/11 haben. Sie nehmen den aktuellen Konflikt zwischen Israel und der Hamas sehr emotional wahr und sind mit einem Informationschaos in den sozialen Medien konfrontiert. Es werden falsche, unüberprüfte oder Informationen ohne Kontext geteilt. Plötzlich wird der Terrorist zum Helden.  Dabei wird bin Ladens Brief sehr selektiv wahrgenommen: Gesehen werden seine Äusserungen zum Konflikt um Palästina, dem die Leute zustimmen können. Doch bin Ladens antisemitische Verschwörungstheorien, die Homophobie oder der Glaube an einen totalitären Staat werden ausgeblendet. Ebenso die Rechtfertigung für Terroranschläge auf die Zivilbevölkerung. All das ist in dem Brief ebenfalls enthalten.  Im Zusammenhang mit dem Gazakrieg geht ein von bin Laden kurz nach den Terroranschlägen 2001 verfasstes Pamphlet viral, in dem er die Rolle der USA im Nahostkonflikt kritisiert, aber auch Judenhass verbreitet und Terror verherrlicht. Für viele junge Amerikanerinnen und Amerikaner wird aus dem Terroristen nun plötzlich ein Befreiungskämpfer.  Warum wird da so vieles ausgeblendet?  In den sehr kurzen Clips, die auf Social-Media-Plattformen geteilt werden, kann gar nicht auf den kompletten Kontext eingegangen werden. Es werden nur wenige Fragmente gepostet und es wird mit Emotionen gespielt. Ausserdem gibt es keine Grautöne, keine historischen Analysen oder Zusammenhänge, die gerade im Nahostkonflikt zentral sind. Es wird klar Stellung bezogen – schwarz oder weiss – und Inhalte werden sehr schnell geteilt. Selbst wenn sie unbestätigte Behauptungen enthalten.  Das Viralgehen von bin Ladens Brief nennt Jakob Guhl ein «grosses Versagen» der Social-Media-Plattformen – nicht nur von Tiktok, sondern auch von X (früher Twitter) oder Youtube. Die Behauptungen des durch US-Marines 2011 in Pakistan getöteten Terroführers verstiessen «ganz klar» gegen die Gemeinschaftsstandards der Plattformen, so Guhl. Schliesslich lobpreist bin Laden den Terrorismus, was die Plattformen eigentlich verhindern sollten. User frohlocken, bin Ladens Brief habe ihnen die Augen geöffnet. Wie kommt das?  Die allermeisten beziehen sich dabei auf Palästina und die Unterstützung Israels durch die USA, welche sie kritisch sehen. Der Rest des Briefes wird nicht thematisiert. Auch muss man sich bewusst sein: Tiktok hat über eine Milliarde Userinnen und User weltweit – und auch wenn mehrere Millionen nun den Bin-Laden-Brief teilen, ist es doch ein vergleichsweise kleines Phänomen.  Seit Beginn des Krieges in Nahost kursiert viel Kriegspropaganda in den sozialen Medien. Wie heikel ist das angesichts der Tatsache, dass sich viele Jugendliche fast nur in diesen Medien informieren?  Die Debatte ist auf allen Seiten sehr polarisiert und wird sehr emotional geführt. Es besteht die grosse Gefahr, dass sich die Leute jene Inhalte herauspicken, die ihre Haltung bestätigen. Es kursieren auch viele falsche Videos und Bilder. Es ist ein grosses Informationschaos, bei dem niemand so genau weiss, wie man damit umgehen muss.  Was müssen Anbieter von sozialen Medien oder die Gesellschaft als Ganzes tun, um wieder die Kontrolle zu erhalten?  Dokumente wie bin Ladens Brief können durchaus benutzt werden – in der Schule etwa. Dort aber müsste er in seiner Gänze kritisch diskutiert und im Gesamtkontext erläutert werden. Seitens der Plattformen sollte es eine grössere Transparenz geben, wie die Moderation von Inhalten geschieht. Denn offensichtlich klappt sie bei Lobpreisungen terroristischer Akteure nur sehr lückenhaft – wie klappt sie dann bei anderen Inhalten? Ausserdem braucht die Forschung einen besseren Datenzugang, um abschätzen zu können, wie gross solche Phänomene sind und welche Auswirkungen sie haben.  Das Gespräch führte Brigitte Kramer. "
Recycling-Weltmeister? Da gibt es definitiv Luft nach oben,https://www.srf.ch/news/schweiz/analyse-von-kehrichtsaecken-recycling-weltmeister-da-gibt-es-definitiv-luft-nach-oben,"Tue, 21 Nov 2023 21:13:50 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=20, tm_min=13, tm_sec=50, tm_wday=1, tm_yday=325, tm_isdst=0)","Was landet bei Schweizerinnen und Schweizern tagtäglich im Abfall? Das Bundesamt für Umwelt hat das für das Jahr 2022 untersucht. Die Analyse zeigt: im Vergleich zu vor 10 Jahren fällt zwar pro Person zu Hause weniger Abfall an.  Trotzdem bleibt die Abfallmenge insgesamt relativ stabil. Und: Nach wie vor besteht 20 Prozent unseres Abfalls aus Stoffen, die eigentlich wiederverwertet werden könnten. Die Bilanz sei deshalb durchzogen, schlussfolgert das Bundesamt für Umwelt. Die Menge Abfall aus den einzelnen Haushalten ist in den letzten 10 Jahren zwar beträchtlich zurückgegangen, um rund 30 Prozent. Dies sei durch die Bemühungen zur Förderung des Recyclings zustande gekommen.  Doch der Schein trügt, denn die Menge Abfall, die insgesamt in der Schweiz anfällt, bleibt relativ stabil. Das könnte auch an unserem Lebensstil liegen, so Katrin Schneeberger. Sie ist Direktorin des Bundesamts für Umwelt Bafu. «Wir sind viel unterwegs, wir essen unterwegs, und auch dort produzieren wir Abfall.» In der Summe heisst das: Die Schweiz gehört weltweit nach wie vor zu den unrühmlichen Spitzenreitern in Sachen Abfallmenge. «Die Abfallmenge hat eine hohe Verbindung mit dem Wohlstand eines Landes. Die Schweiz gehört zu den reichsten Ländern der Welt. Dementsprechend produzieren wir auch viel Abfall.» Rund 6 Millionen Tonnen jährlich sind es. Etwa die Hälfte dieser Abfälle landet in der Kehrichtverbrennungsanlage – der Rest wird separat gesammelt und verwertet. Das Bundesamt für Umwelt untersucht den Abfall seit 1982 alle zehn Jahre. Für das Jahr 2022 wurden rund 17 Tonnen Abfallsäcke aus 33 Gemeinden untersucht. Zum grössten Teil, zu über 35 Prozent, besteht diese Menge aus sogenannten biogenen Abfällen: Rüstabfälle, Gartenabfälle, aber auch Lebensmittel.  50 Kilogramm Lebensmittel werden pro Person pro Jahr weggeworfen. Das schmerze, sagt Schneeberger: «Das ist Arbeit, das ist Geld, das ist Energie und das ist Ressourcenverschwendung. Wir können bei uns selbst beginnen, indem wir nur einkaufen, was wir essen können und ein Joghurt noch essen, auch wenn das Verfalldatum abgelaufen ist, wenn es qualitativ noch gut ist.» Doch auch bei den Restaurants sieht die Direktorin des Bundesamtes für Umwelt Potenzial: «Man kann sich vorstellen, dass die Migros am Abend in der letzten Stunde nicht mehr das gesamte Sortiment anbieten muss, sondern nur noch gewisse Sachen. Man kann sich auch vorstellen, dass man in Restaurants zweimal schöpft, anstatt von Anfang an eine riesige erste Portion auszugeben.» Diese Massnahmen sind auch Teil des Aktionsplans gegen Lebensmittelverschwendung des Bundesrates.  Michel Monteil, Chef der Abteilung Abfall beim Bundesamt für Umwelt, gibt zudem zu bedenken: Gut 20 Prozent von allen Materialien, die im Abfall landen, könnten eigentlich rezykliert werden: «Das sind Papier, Karton, einzelne Plastikfraktionen, es sind Petflaschen, es sind Aludosen. Wir finden auch kleine Mengen an Elektroschrott und wir finden sogar Batterien, obwohl jeder und jede von uns die Pflicht hätte, diese zum Recycling zu bringen.»  Auch wenn sich die Schweiz stets als Recycling-Weltmeisterin rühmt: Monteil sieht noch Luft nach oben."
Netanjahu: «Der Krieg wird weitergehen»,https://www.srf.ch/news/international/krieg-im-nahen-osten-netanjahu-der-krieg-wird-weitergehen,"Tue, 21 Nov 2023 21:45:42 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=20, tm_min=45, tm_sec=42, tm_wday=1, tm_yday=325, tm_isdst=0)","Der Krieg im Nahen Osten hat bereits Tausende von Menschenleben gekostet, grösstenteils Zivilpersonen. Die Glückskette ruft zur Solidarität auf, um der Zivilbevölkerung zu helfen. Sie unterstützt ihre Schweizer Partnerorganisationen vor Ort – sie hilft dort, wo die humanitären Bedürfnisse am grössten sind. Zurzeit ist das Gaza. Spenden für die Sammlung «Humanitäre Krise im Nahen Osten» können auf der Webseite der Glückskette getätigt werden. Die Kämpfe in Israel und im Gazastreifen halten an. Hier finden Sie alle unsere Inhalte zum Krieg im Nahen Osten. Die Informationen zum Krieg in Nahost sind zahlreich und zum Teil widersprüchlich. Die verlässlichsten Quellen sind unsere Korrespondentinnen und Korrespondenten sowie Mitarbeiterinnen und Mitarbeiter vor Ort. Weitere wichtige Quellen sind Augenzeugen, welche Informationen aus erster Hand liefern können. Die Aussagen der verschiedenen Konfliktparteien ordnen wir entsprechend ein. Grundsätzlich gilt bei SRF: Je schwieriger und unzuverlässiger die Quellenlage, desto wichtiger ist Transparenz. Umstrittene Fakten und Informationen, die nicht unabhängig überprüfbar sind, werden als solche kenntlich gemacht."
«Es kann noch vieles schieflaufen»,https://www.srf.ch/news/international/geiselexperte-zu-verhandlungen-es-kann-noch-vieles-schieflaufen,"Tue, 21 Nov 2023 18:56:10 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=17, tm_min=56, tm_sec=10, tm_wday=1, tm_yday=325, tm_isdst=0)","Gershon Baskin pflegt als einer von wenigen Israeli direkte Kontakte zu Hamas-Mitgliedern. Im Interview erklärt er, wie die aktuellen Verhandlungen mit Israel über die Geiseln ablaufen und was diese besonders schwierig machen.                  Gershon Baskin               Nahost-Leiter der NGO «International Communities Organization»      Baskin ist einer der wenigen Israeli mit direkten Hamas-Kontakten. Er setzte sich für die Freilassung des israelischen Soldaten Gilad Shalit ein, der fünf Jahre von der Hamas gefangen gehalten worden ist. Baskin eröffnete und pflegte geheime Kommunikationskanäle zur Hamas. Den Kontakt zu einigen Hamas-Entscheidern hält Baskin nach eigenen Angaben weiterhin aufrecht. SRF News: Gershon Baskin, wie beurteilen Sie die aktuellen Verhandlungen? Gershon Baskin: Die Israelis wollen ihre Verhandlungspartner töten. Das macht diese Verhandlungen sehr seltsam und ungewöhnlich. Wie laufen die Verhandlungen in etwa ab? Die Israelis reden nicht direkt mit der Hamas, sondern via Ägypten und Katar. Dazu kommt, dass die Hamas-Mitglieder in Katar wohl keine direkte Verbindung zu jenen im Untergrund im Gazastreifen haben, welche die wirklichen Entscheidungen treffen. Somit ist die Kommunikation sehr verworren.  Die Hamas-Führung in Gaza nutzt keine digitalen Kommunikationsgeräte. Andernfalls könnten die Israelis sie lokalisieren und gezielt angreifen. So ist die Hamas auf Boten angewiesen, die über verschiedene Personen Nachrichten weitergeben, bis diese Doha erreicht. Die Ägypter auf der anderen Seite haben sehr wahrscheinlich viel einfacher Zugang zu den Hamas-Leadern in Gaza, da sie eine gemeinsame Grenze haben, die sie passieren können. Wann rechnen Sie mit Ergebnissen? Basierend auf meinen Erfahrungen kann ich nur sagen: Es gibt erst dann einen Deal, wenn es einen Deal gibt. Und wenn dieser Deal der israelischen Regierung präsentiert wird, wird es bereits die ganze Welt wissen. Die Regierung muss dann zuerst darüber diskutieren und ihn akzeptieren. Aber bis die Geiseln die Grenze sicher passiert haben, kann vieles schieflaufen. Deshalb müssen wir vorsichtig sein, zu viel von diesen Verhandlungen zu erwarten.  Vor vier Wochen gab es bereits Gerüchte, dass 50 Geiseln freigelassen werden sollten. Und aktuell soll man ebenfalls kurz davorstehen, einen Deal zu verabschieden. Was halten Sie davon? Aktuell bekommt man alle paar Tage Neues zu hören: Mal soll es einen drei-, vier oder fünftägigen Waffenstillstand geben oder dann die Geiseln in Gruppen von fünf oder zehn Personen freigelassen werden. Man weiss es einfach nicht. Es gibt viele Leute, die sich dazu äussern. Meistens ist es so, dass die Leute, die reden, es nicht wirklich wissen und die Leute, die es wissen, nicht reden. Es sind also alles nur Gerüchte und diese machen alle Beteiligte verrückt – besonders die Familien der Geiseln. Was macht die Gespräche besonders schwierig? Dass man nicht direkt mit den richtigen Leuten reden kann, sondern nur über Vermittler. Diese sind zwar wichtig, haben aber ihre eigenen Interessen. Katar als Beispiel: Ein Staat, der den Terrorismus der Hamas aktiv unterstützt – gar einem Teil der Hamas-Führung Unterschlupf bietet – und dessen Staatssender Al Jazeera, der ein Sprachrohr der Hamas ist.  Und die Geiseln? Wir wissen nichts über die Situation der Geiseln: Wie viele genau es sind, ob sie verletzt sind und ob sie medizinisch versorgt werden. Es ist sehr schwierig zu verhandeln, wenn die israelischen Geiseln an der Grenze möglicherweise in Leichensäcken übergeben werden. Denn das könnte auch eine Realität sein. Das Gespräch führten Jonas Bischoff und Anita Bünter."
Filippo Leutenegger führt neu die Zürcher FDP,https://www.srf.ch/news/schweiz/zuercher-freisinn-hat-gewaehlt-filippo-leutenegger-fuehrt-neu-die-zuercher-fdp,"Tue, 21 Nov 2023 22:04:18 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=21, tm_min=4, tm_sec=18, tm_wday=1, tm_yday=325, tm_isdst=0)","Die Delegierten wählten Leutenegger zusammen mit den Vizepräsidenten, der FDP-Kantonsrätin Raffaela Fehr und dem Präsidenten der Jungfreisinnigen Schweiz Matthias Müller.  Der Zürcher Freisinn wird künftig also von einem Trio geführt. Die Amtsübergabe findet im Dezember statt. Der bisherige Präsident Hans-Jakob Boesch führte die FDP seit 2016. Der Entscheid für das «Team Filippo» fiel überaus deutlich: Es erhielt 171 Stimmen. Das Konkurrenzteam, bestehend aus dem ehemaligen Avenir-Suisse-Chef Peter Grünenfelder und dem Thalwiler Gemeinderat Thomas Henauer, holte hingegen nur 63 Stimmen. Leutenegger hatte seine Kandidatur kurz nach den Wahlen eingereicht. «Wir sind im Jammertal, wir haben verloren», sagte er dazu. «Jetzt muss man aufstehen und arbeiten». Alleine habe er das Präsidium aber nicht übernehmen wollen, weshalb er Fehr und Müller angefragt habe. Nun sei er «der Silberrücken, der zwei Junge mitnimmt». Im Zürcher Freisinn gibt es aktuell viele Baustellen: Die Listenverbindung mit der SVP sorgte innerhalb der Partei für einen tiefen Graben. Leutenegger bezeichnete diese Listenverbindung als «nicht glücklich». An der Urne habe das nichts gebracht. Sie sei zudem intern nicht getragen worden. Erfolge bleiben bei der Zürcher FDP seit längerem aus. Jüngste Niederlage war der Verlust des Ständeratssitzes, den die FDP seit 40 Jahren ununterbrochen innehatte. FDP-Kandidatin Regine Sauter zog sich nach dem ersten Wahlgang zugunsten von SVP-Kandidat Gregor Rutz zurück. Die SVP holte mit Hardliner Rutz aber nur die SVP-Wählerschaft ab. Gewählt wurde schliesslich GLP-Nationalrätin Tiana Angelina Moser."
Die Nati verliert in Bukarest 0:1 und wird nur Gruppen-Zweiter,https://www.srf.ch/sport/fussball/nationalmannschaft/letztes-spiel-in-der-em-quali-die-nati-verliert-in-bukarest-0-1-und-wird-nur-gruppen-zweiter,"Tue, 21 Nov 2023 23:04:18 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=22, tm_min=4, tm_sec=18, tm_wday=1, tm_yday=325, tm_isdst=0)","Knapp zweieinhalb Jahre können sich anfühlen wie eine kleine Ewigkeit. Gerade einmal 29 Monate ist es her, als die Nati in einer mitreissenden Partie gegen den amtierenden Weltmeister Frankreich im Penaltyschiessen in den EM-Viertelfinal einzog. Eine Sternstunde. Der Ort des Schweizer Highlights war die Arena Nationala in Bukarest. In diesem Stadion fand am Dienstagabend vor 50'000 Zuschauern auch das letzte EM-Quali-Spiel der Nati gegen Rumänien statt. Und nichts mehr erinnerte an den begeisternden Auftritt von 2021. Das lag nicht nur am Gegner, sondern vor allem an der Schweiz. Es waren gegen die bescheidenen Rumänen zwar gute Ansätze vorhanden, doch letztlich war es wie schon in den Wochen zuvor trotz viel Ballbesitz ein sehr enttäuschender Auftritt. Unzulänglichkeiten in der Defensive führten zum Gegentreffer, in der Offensive mangelte es erneut an der Effizienz und bedingungslose Hingabe war auch nicht zu sehen. Am Ende zeigte die Anzeigetafel in Bukarest ein 1:0 für das Heimteam an. Das ist für die Schweiz zwar nicht tragisch, denn sie hatte sich schon zuvor für die Endrunde in Deutschland qualifiziert. Doch durch diese Niederlage schloss die Nati die Quali-Gruppe I bloss auf Platz 2 ab – 5 (!) Punkte hinter Rumänien, der Nummer 48 der Welt. Vor 8 Monaten wollte man die Quali noch mit lauter Siegen absolvieren. Nun kassierte die Equipe von Murat Yakin in Bukarest die 1. Niederlage. Von ihren 10 Partien in dieser bescheidenen Gruppe gewann die Nati nur deren 4. Beim EURO-Draw in Hamburg wird die SFV-Auswahl nun nur in Topf 4 platziert – das erschwert das Erreichen der K.o.-Phase im Sommer. Das einzige Tor der Partie erzielte Denis Alibec in der 50. Minute. Es war ein schön herausgespielter Treffer, bei dem der Reihe nach Xherdan Shaqiri, Ulisses Garcia und Ricardo Rodriguez zu weit von ihren Gegenspielern wegstanden. Gleichzeitig war es das 1. Gegengoal, welches die Nati in dieser Quali vor der 65. Minute kassierte. Zwar suchte die Schweiz in der Folge das 1:1 und erspielte sich auch ein paar Top-Möglichkeiten – wie jene durch Noah Okafor (60.) und Ruben Vargas (61.). Doch das bedingungslose Stemmen gegen die Niederlage sah man nicht.  Coach Yakin hatte im Vergleich zum Israel-Spiel 4 Änderungen vorgenommen. Im Tor spielte Yvon Mvogo, Rodriguez kehrte in die Verteidigung zurück, zudem begannen Dan Ndoye und Michel Aebischer. Doch auch dieses Quartett konnte der Nati keinen Aufschwung verleihen.  Die Tendenz der letzten Monate zeigt steil nach unten. Hatte die Schweiz zum Quali-Beginn noch Belarus (5:0) und Israel (3:0) klar geschlagen, resultierten aus den folgenden 8 Begegnungen nur noch 2 Erfolge gegen Fussball-Zwerg Andorra. Mit der Enttäuschung in Rumänien endet das Länderspiel-Jahr der Nati. Ein wichtiges Datum gibt es 2023 aber noch im Kalender: Am 2. Dezember werden in Hamburg die Gruppen für die Endrunde 2024 (14. Juni bis 14. Juli) ausgelost. Auf die Schweiz in Topf 4 warten einige hochkarätige Gegner. Es ist ihr zu wünschen, dass sie sich gegen diese weniger schwer tut als gegen Israel, den Kosovo, Rumänien und Co."
Rapperswil wirft Quali-Sieger raus – Biel scheitert in Schweden,https://www.srf.ch/sport/eishockey/champions-hockey-league/champions-hockey-league-rapperswil-wirft-quali-sieger-raus-biel-scheitert-in-schweden,"Tue, 21 Nov 2023 21:56:58 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=20, tm_min=56, tm_sec=58, tm_wday=1, tm_yday=325, tm_isdst=0)","Die Rapperswil-Jona Lakers stehen in der Champions Hockey League im Viertelfinal. Auf den 4:1-Sieg im Hinspiel liessen die Lakers gegen Adler Mannheim ein 3:1 folgen. Die Rapperswiler, die es als 16. gerade noch so in die K.o.-Phase geschafft hatten, werfen damit den Quali-Sieger raus. Der deutsche Vertreter fand nie wirklich in die Partie und geriet bereits in der 2. Minute durch Gian-Marco Wetter in Rückstand. Jordan Schroeder doppelte in der 31. Minute für Rapperswil nach. Matthias Plachta verkürzte zwar im letzten Drittel noch für Mannheim, doch davon liessen sich die St. Galler nicht mehr aus der Ruhe bringen und machten mit einem Empty-Netter alles klar. In der nächsten Runde trifft Rapperswil-Jona auf Vitkovice. Den Tschechen reichte ein 1:1 im Rückspiel, nachdem die erste Partie aufgrund von Problemen mit dem Eis nicht hatte fertig gespielt werden können und deshalb 3:0 für Vitkovice gewertet wurde. Aus dem Wettbewerb verabschieden muss sich hingegen der EHC Biel. Nach der Hinspielniederlage zuhause (3:5) unterlagen die Bieler auswärts bei Färjestad Karlstad mit 4:6. Bereits nach 12 Minuten im 1. Drittel lag der Schweizer Vertreter mit 0:2 im Hintertreffen, die Wende rückte damit früh ausser Reichweite. Die Bieler konnten dank Jere Sallinen, Tino Kessler und Ville Pokka zwar dreimal verkürzen, zum Ausgleich kamen sie jedoch nie – stattdessen konnte Färjestad immer wieder erhöhen. Damit verlor Biel in dieser Saison bereits zum dritten Mal gegen die Schweden."
Chipkonzern Nvidia übertrifft Erwartungen mit Quartalszahlen,https://www.srf.ch/news/wirtschaft/umsatz-verdreifacht-chipkonzern-nvidia-uebertrifft-erwartungen-mit-quartalszahlen,"Tue, 21 Nov 2023 17:05:32 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=16, tm_min=5, tm_sec=32, tm_wday=1, tm_yday=325, tm_isdst=0)","«Die Ära generativer KI ist angebrochen», teilte das Unternehmen mit. Im abgelaufenen Quartal verdreifachte sich der Umsatz den Angaben zufolge auf 18.12 Milliarden Dollar. Zum Jahresabschluss stellte Nvidia Erlöse von 20 Milliarden Dollar, plus/minus zwei Prozent, in Aussicht. Analysten hatten jeweils mit rund zwei Milliarden Dollar weniger gerechnet. Das US-Unternehmen entwickelt Grafikprozessoren und Computerchips. Mit einem Marktanteil von 80 Prozent ist Nvidia Marktführerin im Bereich Computerchips für KI. Die Chips werden in Kalifornien designt und in Taiwan hergestellt. Ein einziger Chip der neusten Generation kostet rund 40'000 Dollar. Seit Jahresbeginn ist die Nvidia-Aktie um mehr als 257 Prozent gestiegen."
"Wer in seiner Wohnung bleibt, kann bis zu 5300 Franken sparen",https://www.srf.ch/news/wirtschaft/zkb-studie-wer-in-seiner-wohnung-bleibt-kann-bis-zu-5300-franken-sparen,"Tue, 21 Nov 2023 18:43:31 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=17, tm_min=43, tm_sec=31, tm_wday=1, tm_yday=325, tm_isdst=0)","Selbst wenn eine Wohnung von der Grösse oder der Lage her nicht mehr passe, hätten Mieter einen guten Grund, an ihrer Wohnung festzuhalten, schreibt die Zürcher Kantonalbank (ZKB) in der Studie. Der Grund sind die Angebotsmieten, die schweizweit seit 2008 um knapp ein Viertel gestiegen sind. Dagegen seien die Bestandsmieten relativ stabil geblieben. Letztere seien zudem durch Regulierungen geschützt und dürften nur in seltenen Fällen angepasst werden. Bestandsmieter sparten im Kanton Zürich im Schnitt 16 Prozent gegenüber Neumietern, was jährlich 3000 Franken entspreche. In der Stadt Zürich zeige sich dieser «Verweilbonus» mit 26 Prozent bzw. rund 5300 Franken noch ausgeprägter. Über alle Haushalte in der Stadt Zürich multipliziert ergibt dies laut ZKB eine Mietersparnis von jährlich insgesamt 1.1 Milliarden Franken. Die Stadt Zürich ist allerdings nicht Spitzenreiterin. In Genf beträgt der Bonus gar 54 Prozent. Schweizweit gebe es eine Mietersparnis von total 6.9 Milliarden Franken, so die Studie. «Bestandsmieter befinden sich zunehmend in einem goldenen Käfig», lässt sich Ursina Kubli, Leiterin Immobilienresearch bei der ZKB, zitieren. In der Stadt Zürich etwa wohne ein Mieter im Durchschnitt bereits seit zehn Jahren in der gleichen Wohnung; bei 15 Prozent seien es sogar zwanzig Jahre. Dies sorge für Verteilungsprobleme: Denn so seien 7 Prozent aller kleinen Mietwohnungen überbelegt und umgekehrt 65 Prozent aller grossen Wohnungen unterbelegt. Doch ein Umzug in eine kleinere Wohnung ist nicht selten mit höheren Kosten verbunden. Wer vor 25 Jahren im Kanton Zürich in eine Vierzimmerwohnung gezogen sei, würde heute für den gleichen Mietpreis nur noch eine Zweizimmerwohnung erhalten. Zwar müssten sich auch bestehende Mieter auf steigende Kosten einstellen – der Referenzzinssatz dürfte im Dezember ein zweites Mal (auf dann 1.75 Prozent) angehoben werden. An der deutlichen Differenz zu den Bestandsmieten werde dies jedoch wenig ändern. In diesem Jahr dürften die Angebotsmieten im Kanton Zürich um 5.5 Prozent steigen und 2024 nochmals um 4.5 Prozent. Schweizweit dürfte der Anstieg 3.5 bzw. 4 Prozent betragen. Eine Lösungsmöglichkeit sieht die ZKB in besseren Rahmenbedingungen für den Wohnungsbau: Ein wachsendes Angebot würde den Anstieg der Angebotsmieten dämpfen und somit auch das weitere Auseinanderdriften von Angebot- und Bestandsmiete bremsen, so Kubli."
Auf nach Dubai: Die neue Drehscheibe für russisches Rohöl,https://www.srf.ch/news/wirtschaft/sanktionen-gegen-russland-auf-nach-dubai-die-neue-drehscheibe-fuer-russisches-rohoel,"Tue, 21 Nov 2023 21:25:34 +0100","time.struct_time(tm_year=2023, tm_mon=11, tm_mday=21, tm_hour=20, tm_min=25, tm_sec=34, tm_wday=1, tm_yday=325, tm_isdst=0)","Zu Beginn hätten die Sanktionen gegen Russland funktioniert, erklärt die Öl-Expertin Cornelia Meyer. Doch dann habe das Geschäft mit dem russischen Öl neue Wege gefunden. Inzwischen werde viel davon nach China und Indien geliefert. Ein Fünftel des von Russland exportierten Öls lande in Indien, das sei zehn Mal so viel wie 2021.  Der Preisdeckel von 60 Dollar pro Fass russischen Öls gilt nur im Westen, nicht aber in China und Indien. Dort wird das schwarze Gold jeweils mit einem Preisabschlag verkauft: «Wenn der weltweite Ölpreis 100 Dollar beträgt, werden es etwa 80 Dollar pro Fass sein, wenn der Ölpreis sinkt, dann sinkt mit ihm auch jener für russisches Öl», sagt Meyer.  Der Preisdeckel könne nicht funktionieren, ergänzt der Energieökonom Christof Rühl von der Columbia Universität. Russland sei einer der drei grössten Erdölexporteure, der Westen könne nicht auf russisches Öl verzichten.  Der Bedarf an Treibstoff sei zu gross. Der Preisdeckel sei der Versuch, das Öl auf dem Markt zu halten und gleichzeitig die Gewinne Moskaus möglichst minimal zu halten. «Doch jetzt sieht man, dass das nicht funktioniert», sagt Rühl. Russland verdient weiterhin am Öl.  Auch die Handelsgesellschaften mussten sich neu organisieren. Davon ist auch der Rohstoffhandelsplatz Schweiz betroffen. «Die einst grossen Schweizer Handelsgesellschaften haben sich grösstenteils aus dem Handel mit russischem Erdöl zurückgezogen», sagt Manuel Abebe, Rechercheur bei der Nichtregierungsorganisation Public Eye. Sie  haben russische Zolldaten ausgewertet: An ihrer Stelle handelten jetzt  viele kleine unbekannte Händler vor allem in Dubai mit dem russischen Rohöl.  Mit den Sanktionen sei das sowieso schon intransparente Geschäft also noch obskurer geworden. Die Recherche habe gezeigt: Viele der Firmen in Dubai hätten zuvor unter fast dem gleichen oder sehr ähnlichen Namen von der Schweiz aus mit  russischem Öl gehandelt. Das Geschäft führten sie jetzt in Dubai weiter. Inwiefern diese Dubaier Ableger mit den Firmen in der Schweiz zusammenarbeiten, sei allerdings nicht klar, so Abebe. Genau das ist aber entscheidend: Nur wenn dieser Einfluss da ist, die Tochterfirma in Dubai also zum Beispiel Befehle aus der Schweiz ausführt, müsste sie sich an die Schweizer Sanktionen halten. Prüfen muss dies das Staatssekretariat für Wirtschaft (Seco). Es ist für die Umsetzung der Sanktionen zuständig.  Anders als Meyer und Rühl findet Abebe aber durchaus, dass die Sanktionen nicht wirkten: «Der Handel mit russischem Öl ist für Moskau teurer geworden.» Es mussten neue Firmen gegründet werden und eine ganze Schattenflotte aufgebaut werden. Das sind über 400 Öl-Tanker, die russisches Öl transportieren. «Das alles kostet viel Geld.» Und das sei Geld, das nicht in russische Waffen fliessen könne, sagt Abebe.  Auch wenn der Handel komplizierter und teuer geworden ist: Russland verdient mit dem Verkauf seines schwarzen Goldes immer noch viel Geld. Trotz westlicher Sanktionen. "
